Source Name	Material Type	Characteristics [BioSourceType]	Characteristics [CellLine]	Characteristics [CellType]	Characteristics [DevelopmentalStage]	Characteristics [DiseaseStage]	Characteristics [DiseaseState]	Characteristics [OrganismPart]	Characteristics [Organism]	Characteristics [Sex]	Labeled Extract Name	Material Type	Label	Hybridization Name	Array Design REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Comment[Normalization Type]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	Factor Value [CELLLINE]	Factor Value [CELLTYPE]	Factor Value [DEVELOPMENTALSTAGE]	Factor Value [DISEASESTAGE]	Factor Value [DISEASESTATE]	Factor Value [ORGANISMPART]
1102960533.cel	organism_part	fresh_sample	  	naive CD4 T cell	  	  	  	blood	Homo sapiens	  	Labeled1 biotin	synthetic_DNA	biotin	Hyb_1	A-AFFY-33	1102960533.cel	1102960533.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.1.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	naive CD4 T cell	  	  	  	blood
1102960569.cel	organism_part	fresh_sample	  	naive CD4 T cell	  	  	  	blood	Homo sapiens	  	Labeled2 biotin	synthetic_DNA	biotin	Hyb_2	A-AFFY-33	1102960569.cel	1102960569.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.1.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	naive CD4 T cell	  	  	  	blood
1102960602.cel	organism_part	fresh_sample	  	naive CD4 T cell	  	  	  	blood	Homo sapiens	  	Labeled3 biotin	synthetic_DNA	biotin	Hyb_3	A-AFFY-33	1102960602.cel	1102960602.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.1.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	naive CD4 T cell	  	  	  	blood
1102960632.cel	organism_part	fresh_sample	  	central memory 1 CD4 T cell	  	  	  	blood	Homo sapiens	  	Labeled4 biotin	synthetic_DNA	biotin	Hyb_4	A-AFFY-33	1102960632.cel	1102960632.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.1.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	central memory 1 CD4 T cell	  	  	  	blood
1102960664.cel	organism_part	fresh_sample	  	central memory 1 CD4 T cell	  	  	  	blood	Homo sapiens	  	Labeled5 biotin	synthetic_DNA	biotin	Hyb_5	A-AFFY-33	1102960664.cel	1102960664.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.1.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	central memory 1 CD4 T cell	  	  	  	blood
1102960695.cel	organism_part	fresh_sample	  	central memory 1 CD4 T cell	  	  	  	blood	Homo sapiens	  	Labeled6 biotin	synthetic_DNA	biotin	Hyb_6	A-AFFY-33	1102960695.cel	1102960695.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.1.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	central memory 1 CD4 T cell	  	  	  	blood
1102960731.cel	organism_part	fresh_sample	  	central memory CD4 T cell	  	  	  	blood	Homo sapiens	  	Labeled7 biotin	synthetic_DNA	biotin	Hyb_7	A-AFFY-33	1102960731.cel	1102960731.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.1.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	central memory CD4 T cell	  	  	  	blood
1102960765.cel	organism_part	fresh_sample	  	central memory CD4 T cell	  	  	  	blood	Homo sapiens	  	Labeled8 biotin	synthetic_DNA	biotin	Hyb_8	A-AFFY-33	1102960765.cel	1102960765.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.1.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	central memory CD4 T cell	  	  	  	blood
1102960797.cel	organism_part	fresh_sample	  	central memory CD4 T cell	  	  	  	blood	Homo sapiens	  	Labeled9 biotin	synthetic_DNA	biotin	Hyb_9	A-AFFY-33	1102960797.cel	1102960797.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.1.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	central memory CD4 T cell	  	  	  	blood
1102960831.cel	organism_part	fresh_sample	  	effector memory CD4 T cell	  	  	  	blood	Homo sapiens	  	Labeled10 biotin	synthetic_DNA	biotin	Hyb_10	A-AFFY-33	1102960831.cel	1102960831.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.raw.1.zip	P-TABM-1006	hgu133a_gcrma_reduced.mx	  	E-TABM-185.processed.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-185/E-TABM-185.processed.2.zip	  	effector memory CD4 T cell	  	  	  	blood
